id_transacao,id_origem,id_destino,valor,data_transacao,canal,tipo_conta_origem,tipo_conta_destino,instituicao_origem,instituicao_destino,localizacao_origem,localizacao_destino,dispositivo_origem,ip_origem,fingerprint,fraude
T000000,C00271,C01093,118.9,2025-02-11 19:31:00,DOC,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco A,Gonçalves,Cardoso,caixa_eletronico,64.223.243.188,436c8b2b8cf5,0
T000001,C00349,C00338,68.99,2025-01-27 11:50:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco A,Lopes,Cardoso,web,141.21.172.223,f5dae2e0e1e1,0
T000002,C00309,C00289,253.83,2025-01-12 14:32:00,DOC,Pessoa Jurídica,Pessoa Física,Wallet Y,Banco A,Cunha,Monteiro Verde,mobile,37.138.55.85,0eebc817d919,0
T000003,FRAUD130,FRAUD131,768.89,2025-03-10 17:30:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Carvalho da Praia,Carvalho da Praia,web,192.168.1.27,99b9084ee732,1
T000004,C00965,C00632,24.42,2025-03-13 02:40:00,BOLETO,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Dias do Campo,Almeida de da Conceição,web,49.250.115.168,febda6c02676,0
T000005,C00410,C01427,88.42,2025-02-18 21:30:00,DOC,Pessoa Física,Pessoa Jurídica,Banco B,Banco B,Correia do Norte,Porto,mobile,15.225.228.104,d45f79fad1c0,0
T000006,C00430,C00400,347.91,2025-01-15 12:49:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco Digital X,Mendes de Cardoso,da Luz Alegre,caixa_eletronico,105.20.61.156,a44410d04747,0
T000007,C01191,C00119,339.24,2025-01-14 07:14:00,DOC,Pessoa Jurídica,Pessoa Física,Banco C,Banco B,da Paz,Alves,mobile,79.184.214.182,d2e9652f0981,0
T000008,FRAUD062,FRAUD063,830.32,2025-01-12 16:21:00,TED,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Freitas,Freitas,web,192.168.1.13,5c81a8d2a41a,1
T000009,C00363,C01208,202.32,2025-01-31 21:47:00,PIX,Pessoa Física,Pessoa Física,Banco Digital X,Wallet Y,Ramos do Campo,Peixoto,mobile,107.115.153.18,2e6d42666dde,0
T000010,C00189,C01261,2.02,2025-03-05 06:56:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco A,Wallet Y,Cardoso,Martins Verde,web,125.76.150.72,42bc34d68ba4,0
T000011,C00291,C00459,685.62,2025-02-07 12:36:00,TED,Pessoa Física,Pessoa Jurídica,Wallet Y,Wallet Y,das Neves,Aragão de das Neves,web,175.168.43.49,7d00dd6944d6,0
T000012,C00256,C00054,303.64,2025-03-13 08:08:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco C,Banco Digital X,Ribeiro,Nogueira Verde,caixa_eletronico,24.208.37.30,63d04b482fd2,0
T000013,C01397,C00654,267.72,2025-01-28 09:20:00,DOC,Pessoa Jurídica,Pessoa Física,Banco A,Wallet Y,Cunha Verde,Rezende,mobile,66.48.76.183,4736bd0dd4ae,0
T000014,C01091,C01270,145.51,2025-01-29 05:04:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco A,da Luz do Galho,Martins Paulista,caixa_eletronico,146.198.141.218,49ddbd22e894,0
T000015,C01240,C00707,344.78,2025-03-27 20:14:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco C,Wallet Y,Costa,Viana,caixa_eletronico,237.71.8.190,81c7c6f16621,0
T000016,C00377,C00773,125.6,2025-02-04 14:49:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco B,Banco C,Moraes,Almeida Alegre,web,198.81.249.125,4e04a392fd11,0
T000017,C00296,C00880,588.63,2025-02-11 18:50:00,DOC,Pessoa Jurídica,Pessoa Física,Banco A,Wallet Y,Almeida de Araújo,Pinto de Ramos,mobile,118.13.247.178,4500adcf4656,0
T000018,C00213,C00168,134.97,2025-01-20 07:24:00,PIX,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco Digital X,Ferreira,da Cunha,mobile,214.207.234.56,3e3d1615d0d8,0
T000019,C00817,C00057,1545.64,2025-02-22 05:11:00,DOC,Pessoa Jurídica,Pessoa Física,Banco A,Banco Digital X,Pinto,Peixoto do Amparo,mobile,246.217.148.207,418fd0bd13bd,0
T000020,C00481,C01331,69.51,2025-01-15 12:54:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco B,Gomes Grande,Moraes,web,200.236.188.223,0c39d13b65fb,0
T000021,C00405,C00595,10.56,2025-02-28 01:35:00,TED,Pessoa Física,Pessoa Jurídica,Banco Digital X,Wallet Y,Rodrigues da Praia,Gomes da Serra,web,66.233.20.35,5ed88414bd44,0
T000022,C01247,C00606,3.11,2025-01-22 22:30:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Wallet Y,Banco A,Cardoso,Ferreira Alegre,caixa_eletronico,135.180.96.232,d5e778e5b1fc,0
T000023,C00426,C00513,259.68,2025-03-23 21:01:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco C,Banco B,Pereira,Novaes,web,207.56.55.25,937f171829d9,0
T000024,C00550,C01284,54.12,2025-02-09 13:54:00,PIX,Pessoa Jurídica,Pessoa Física,Banco A,Banco A,Vieira,Moura,mobile,240.174.1.23,a7dcc6dd2fc0,0
T000025,C00277,C00247,353.62,2025-02-17 02:59:00,BOLETO,Pessoa Física,Pessoa Física,Wallet Y,Banco C,Azevedo de Teixeira,Pinto,caixa_eletronico,20.143.84.118,9598d11ed573,0
T000026,FRAUD049,FRAUD046,1380.84,2025-03-25 03:43:00,BOLETO,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Almeida de Souza,Almeida de Souza,web,192.168.1.10,738bcf079559,1
T000027,C00588,C00658,133.58,2025-01-26 23:29:00,PIX,Pessoa Física,Pessoa Física,Wallet Y,Banco A,Pereira,Dias da Praia,mobile,116.90.18.203,8de1d4fcf3b8,0
T000028,C01151,C00525,111.19,2025-03-19 12:01:00,PIX,Pessoa Física,Pessoa Física,Wallet Y,Banco C,Moreira,Nascimento Grande,web,149.87.216.0,848b6aeaa5a4,0
T000029,C01290,C01125,106.87,2025-01-11 21:24:00,DOC,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco Digital X,da Conceição das Pedras,Caldeira,caixa_eletronico,38.28.230.128,49eca2ca5e22,0
T000030,C00782,C00302,167.13,2025-03-21 05:59:00,TED,Pessoa Física,Pessoa Jurídica,Wallet Y,Wallet Y,Moura do Campo,Nascimento,web,42.211.1.100,f164735ee823,0
T000031,C01464,C00773,220.04,2025-02-10 21:08:00,DOC,Pessoa Física,Pessoa Jurídica,Wallet Y,Wallet Y,Melo,Farias,caixa_eletronico,234.214.184.161,8dfe77771e1b,0
T000032,C01290,C00102,162.84,2025-02-01 19:23:00,PIX,Pessoa Física,Pessoa Jurídica,Banco B,Wallet Y,Araújo Verde,Azevedo,mobile,52.4.157.146,49eca2ca5e22,0
T000033,C01143,C00600,29.92,2025-01-14 22:36:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco A,Banco C,Gonçalves,da Rosa,mobile,111.225.70.24,34cbd53b372b,0
T000034,C01371,C00719,800.99,2025-01-12 12:34:00,TED,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco C,Castro,Monteiro dos Dourados,mobile,36.13.17.87,ff11b2f3fc56,0
T000035,C01249,C00517,92.87,2025-02-06 15:03:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco Digital X,Dias,Carvalho do Galho,web,17.160.115.201,6e775d385652,0
T000036,C01309,C01117,272.01,2025-03-27 08:42:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco A,Wallet Y,Costela,da Cruz,web,93.56.47.25,607180e1f11f,0
T000037,C00320,C01350,113.82,2025-01-16 21:11:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco C,Pires,Caldeira do Oeste,caixa_eletronico,178.65.152.101,dfa23dba2c82,0
